ID,sample_key,mean_abs,percent_rsd,type,site,analyst,mass_of_soil,total_volume,concentration
1,1,4.00E-04,NA,CalStd,,,NA,NA,0.1
2,10,-6.00E-04,NA,Sample,F,CYT,1.4935,46,NA
3,11,-0.0017,5.71,Sample,MB,CYT,0,46,NA
4,12,0.0017,NA,Sample,F,DJHR,1.516,43,NA
5,13,0.0153,3.18,Sample,QC,DJHR,1.4923,43,NA
6,14,0.0033,12.15,Sample,D,CAG,1.50621,50,NA
7,15,0.016,2.32,Sample,QC,CAG,1.48989,50,NA
8,16,0.0039,10.39,Sample,F,JHV,1.5063,45,NA
9,17,0.0206,3.02,Sample,QC,JHV,1.5236,45,NA
10,18,0.0029,4.69,Sample,D,SJB,1.55,45,NA
11,19,0.0209,3.43,Sample,QC,SJB,1.53,45,NA
12,2,0.0105,7.49,CalStd,,,NA,NA,1
13,20,-0.002,11.59,Sample,MB,MD,0,50,NA
14,21,5.00E-04,19.53,Sample,D,MD,1.5756,50,NA
15,22,0.0072,4.2,Sample,E,SEP,1.6,44,NA
16,23,0.0143,3.94,Sample,QC,SEP,1.0136,42.5,NA
17,24,0.0188,3.5,Sample,C,SGB,1.5074,44,NA
18,25,-0.0024,10.59,Sample,MB,SGB,0,44.5,NA
19,26,0.0089,8.18,Sample,C,AWB,1.5115,42.5,NA
20,27,0.0202,1.79,Sample,QC,AWB,1.5794,43.5,NA
21,28,-0.0018,10.83,CalStd2,,,NA,NA,0.1
22,29,0.0096,4.23,CalStd2,,,NA,NA,1
23,3,0.0226,0.14,CalStd,,,NA,NA,2
24,30,0.0222,2.93,CalStd2,,,NA,NA,2
25,31,0.0643,3.57,CalStd2,,,NA,NA,5
26,32,0.1266,2.26,CalStd2,,,NA,NA,10
27,38,0.0111,6.4,Sample,C,GB,1.5127,50,NA
28,39,0.0172,2.01,Sample,QC,GB,1.5554,45,NA
29,4,0.0584,2.64,CalStd,,,NA,NA,5
30,40,0.0049,4.45,Sample,B,AB,1.5378,50,NA
31,41,0.0058,1.64,Sample,B,LF,1.4587,45,NA
32,42,-5.00E-04,NA,Sample,MB,LF,0,45,NA
33,43,-7.00E-04,NA,Sample,MB,AB,0,45,NA
34,44,0.0247,2.39,Sample,QC,KAD,1.5598,50,NA
35,45,0.0064,2.38,Sample,B,KAD,1.54,45,NA
36,46,0.0102,4.06,Sample,A,LML,1.57641,43,NA
37,47,0.0252,1.36,Sample,QC,LML,1.54717,43,NA
38,48,0.0132,4.62,Sample,A,AH,1.5,43.7,NA
39,49,-0.0012,4.12,Sample,MB,AH,0,45,NA
40,5,0.1149,3.62,CalStd,,,NA,NA,10
41,50,-0.0014,NA,Sample,MB,LG,0,45.2,NA
42,51,0.0027,2.04,Sample,C,LG,1.5038,45,NA
43,52,0.006,4.14,Sample,B,MF,1.4581,18,NA
44,53,0.0249,4.56,Sample,QC,MF,1.5916,22,NA
45,54,0.0063,3.31,Sample,A,LAK,1.5235,40,NA
46,55,-0.001,NA,Sample,MB,LAK,0,45,NA
47,56,0.0068,5.36,Sample,A,AVM,1.5375,47,NA
48,57,0.023,3.42,Sample,QC,AVM,1.5167,45,NA
49,58,0.0079,2.8,Sample,B,SS,1.5363,42.5,NA
50,59,0.0246,1.06,Sample,QC,SS,1.5578,42.8,NA
51,6,0.0086,7.27,Sample,C,MRMJ,1.5009,45,NA
52,60,-3.00E-04,NA,CalStd4,,,NA,NA,0.1
53,61,0.0123,3.82,CalStd4,,,NA,NA,1
54,62,0.0267,2.5,CalStd4,,,NA,NA,2
55,63,0.0688,2.43,CalStd4,,,NA,NA,5
56,64,0.1422,1.72,CalStd4,,,NA,NA,10
57,7,-0.0016,6.84,Sample,MB,MRMJ,0,45,NA
58,8,0.0019,NA,Sample,E,ARG,1.5423,50,NA
59,9,-0.0019,11.08,Sample,MB,ARG,0,50,NA
